cell_id,NRAS.1.115258747.C...2,NRAS.1.115258747.C...3,DNMT3A.2.25457243.G,NPM1.5.170837543.C,FLT3.13.28592642.C,FLT3.13.28608243.X
c1,9,9,25,29,25,12
c2,12,12,70,20,50,20
c3,33,33,81,47,154,18
c4,8,8,31,54,38,16
c5,13,13,32,53,14,2
c6,46,46,57,67,106,30
c7,9,9,13,5,76,2
c8,20,20,51,69,116,38
c9,29,29,32,70,49,15
c10,42,42,35,53,106,24
c11,20,20,105,16,104,19
c12,62,62,45,145,90,25
c13,16,16,42,71,103,27
c14,27,27,27,60,145,35
c15,23,23,67,48,90,33
c16,22,22,55,48,56,22
c17,68,68,65,48,164,45
c18,19,19,60,40,83,24
c19,45,45,19,14,118,22
c20,20,20,38,29,44,7
c21,23,23,42,15,32,32
c22,22,22,26,24,62,9
c23,11,11,2,3,68,10
c24,10,10,75,0,195,59
c25,58,58,45,49,198,26
c26,20,20,12,5,56,1
c27,25,25,36,114,89,18
c28,83,83,140,254,171,36
c29,31,31,38,26,62,33
c30,15,15,44,32,38,7
c31,6,6,30,52,63,12
c32,16,16,21,5,83,66
c33,2,2,22,1,80,5
c34,41,41,48,21,118,41
c35,21,21,56,5,213,34
c36,26,26,50,65,90,19
c37,26,26,42,44,60,21
c38,27,27,87,85,122,14
c39,18,18,50,22,142,61
c40,23,23,35,17,94,10
c41,23,23,17,12,44,11
c42,30,30,38,2,60,21
c43,30,30,64,18,95,29
c44,25,25,39,20,38,8
c45,28,28,43,45,65,17
c46,14,14,31,38,66,6
c47,25,25,95,83,84,27
c48,13,13,20,3,72,20
c49,29,29,58,119,91,17
c50,68,68,114,63,182,46
c51,64,64,82,33,138,29
c52,20,20,53,22,83,23
c53,13,13,37,47,65,22
c54,49,49,50,23,101,28
c55,19,19,65,44,106,40
c56,20,20,34,12,78,23
c57,95,95,99,79,122,22
c58,9,9,18,15,97,18
c59,44,44,52,53,90,10
c60,12,12,24,5,38,9
c61,36,36,45,52,85,28
c62,26,26,29,10,67,17
c63,14,14,19,32,56,31
c64,36,36,33,38,34,10
c65,11,11,62,69,38,16
c66,56,56,36,19,75,18
c67,25,25,48,33,97,40
c68,29,29,49,16,57,17
c69,33,33,49,40,46,29
c70,47,47,45,39,142,45
c71,2,2,18,12,159,7
c72,8,8,85,106,178,48
c73,16,16,26,10,101,13
c74,5,5,28,19,73,18
c75,68,68,89,42,107,31
c76,16,16,37,30,54,12
c77,22,22,45,15,56,13
c78,77,77,92,31,104,70
c79,10,10,16,14,100,22
c80,39,39,54,49,50,17
c81,24,24,51,60,93,16
c82,24,24,39,33,88,11
c83,40,40,44,11,57,11
c84,68,68,57,50,116,13
c85,37,37,50,34,37,17
c86,14,14,25,22,39,9
c87,24,24,48,13,196,35
c88,3,3,14,4,92,13
c89,17,17,11,13,106,11
c90,3,3,10,18,58,16
c91,23,23,11,22,48,14
c92,20,20,19,16,87,19
c93,39,39,20,46,115,45
c94,34,34,28,1,36,11
c95,25,25,27,2,216,37
c96,27,27,62,33,63,24
c97,33,33,48,18,78,9
c98,15,15,23,15,32,19
c99,29,29,46,85,74,20
c100,23,23,36,40,106,34
c101,29,29,6,8,16,41
c102,20,20,24,48,34,13
c103,28,28,47,46,80,40
c104,32,32,48,49,96,15
c105,5,5,9,3,50,17
c106,11,11,14,11,119,16
c107,17,17,15,17,102,19
c108,15,15,28,29,51,10
c109,45,45,24,20,180,29
c110,30,30,28,38,67,12
c111,19,19,22,12,120,26
c112,9,9,30,33,57,16
c113,17,17,33,20,53,14
c114,58,58,58,62,112,52
c115,32,32,29,41,48,7
c116,9,9,16,18,48,21
c117,48,48,97,86,114,83
c118,15,15,30,29,48,11
c119,12,12,53,5,76,15
c120,23,23,17,5,72,15
c121,75,75,108,95,138,66
c122,13,13,19,24,38,19
c123,17,17,26,12,0,2
c124,15,15,36,10,66,47
c125,19,19,15,4,131,119
c126,20,20,16,7,68,32
c127,52,52,44,21,52,31
c128,33,33,121,94,144,75
c129,23,23,28,54,53,10
c130,16,16,47,62,84,61
c131,7,7,52,1,75,10
c132,32,32,65,26,91,20
c133,34,34,42,22,126,19
c134,41,41,29,18,64,12
c135,15,15,20,8,89,22
c136,17,17,25,37,50,10
c137,35,35,71,46,129,35
c138,20,20,33,6,117,22
c139,19,19,37,8,125,50
c140,13,13,30,9,58,10
c141,73,73,131,53,193,39
c142,42,42,38,34,60,10
c143,31,31,38,60,100,19
c144,23,23,28,10,69,8
c145,26,26,55,40,30,24
c146,15,15,30,28,101,30
c147,34,34,63,78,44,24
c148,12,12,47,57,60,11
c149,22,22,44,19,44,2
c150,10,10,37,60,66,21
c151,53,53,94,15,166,35
c152,20,20,47,42,37,21
c153,36,36,62,72,74,27
c154,24,24,13,27,27,6
c155,16,16,96,16,201,71
c156,17,17,26,12,84,14
c157,22,22,71,10,137,15
c158,19,19,28,9,6,12
c159,37,37,47,15,118,22
c160,31,31,64,54,152,24
c161,30,30,46,34,173,57
c162,16,16,51,42,87,25
c163,61,61,107,47,236,43
c164,46,46,6,2,66,38
c165,8,8,70,41,64,20
c166,25,25,19,4,108,22
c167,6,6,47,43,80,4
c168,27,27,30,21,61,16
c169,25,25,62,91,82,18
c170,21,21,27,7,147,13
c171,23,23,35,18,137,25
c172,21,21,31,16,92,16
c173,6,6,18,12,103,7
c174,15,15,16,6,81,14
c175,38,38,16,20,101,36
c176,13,13,18,31,21,8
c177,24,24,27,16,64,36
c178,14,14,75,53,62,48
c179,40,40,41,36,54,16
c180,38,38,56,62,60,12
c181,36,36,36,6,115,62
c182,20,20,37,28,80,16
c183,43,43,62,12,101,25
c184,14,14,94,3,82,12
c185,14,14,47,33,58,12
c186,9,9,2,10,69,12
c187,16,16,34,13,52,19
c188,20,20,26,15,60,22
c189,3,3,18,6,64,20
c190,21,21,33,14,34,13
c191,20,20,30,27,61,15
c192,46,46,51,12,104,30
c193,24,24,43,21,24,5
c194,19,19,39,34,74,13
c195,28,28,67,126,68,13
c196,33,33,61,40,76,17
c197,39,39,35,11,54,20
c198,74,74,66,20,152,35
c199,40,40,37,22,149,32
c200,60,60,29,21,128,22
c201,19,19,61,8,237,20
c202,44,44,69,18,92,30
c203,61,61,138,55,140,26
c204,44,44,60,79,57,14
c205,26,26,71,106,70,15
c206,33,33,43,37,126,14
c207,14,14,57,25,72,11
c208,16,16,14,15,61,8
c209,22,22,45,17,77,25
c210,10,10,11,6,66,9
c211,79,79,68,79,100,39
c212,22,22,90,44,179,44
c213,44,44,51,29,100,39
c214,30,30,44,36,42,23
c215,36,36,37,35,28,17
c216,22,22,81,23,87,36
c217,23,23,38,32,32,20
c218,32,32,44,10,44,10
c219,2,2,22,4,36,12
c220,50,50,62,26,83,28
c221,15,15,22,5,84,51
c222,27,27,34,9,180,61
c223,32,32,70,24,103,68
c224,13,13,26,18,36,17
c225,33,33,50,45,108,8
c226,6,6,9,5,90,34
c227,19,19,22,6,70,13
c228,10,10,64,6,68,11
c229,19,19,75,13,4,13
c230,51,51,81,59,110,31
c231,108,108,79,17,109,46
c232,44,44,116,95,145,31
c233,20,20,33,49,46,12
c234,35,35,76,46,77,10
c235,18,18,34,39,63,11
c236,87,87,92,43,132,41
c237,47,47,97,14,149,24
c238,44,44,92,86,35,11
c239,76,76,109,103,129,33
c240,37,37,3,4,36,35
c241,32,32,18,10,90,0
c242,26,26,21,46,82,7
c243,24,24,0,12,52,26
c244,12,12,24,6,25,12
c245,22,22,63,29,53,9
c246,27,27,44,13,77,10
c247,13,13,27,3,82,2
c248,5,5,6,1,63,11
c249,8,8,23,6,84,11
c250,20,20,28,4,214,23
c251,27,27,52,12,142,74
c252,4,4,16,2,108,13
c253,17,17,38,9,67,12
c254,19,19,31,2,168,18
c255,34,34,51,12,61,21
c256,18,18,30,26,41,3
c257,26,26,60,7,130,15
c258,14,14,24,7,80,12
c259,33,33,32,11,120,26
c260,63,63,76,87,179,47
c261,4,4,34,32,40,8
c262,37,37,72,13,118,40
c263,56,56,108,32,116,31
c264,46,46,51,106,90,47
c265,28,28,65,57,32,20
c266,42,42,28,62,32,5
c267,12,12,16,15,93,13
c268,4,4,38,6,62,14
c269,18,18,21,14,38,15
c270,8,8,14,2,61,11
c271,18,18,44,6,94,10
c272,11,11,16,7,88,33
c273,42,42,47,4,200,39
c274,20,20,21,24,113,21
c275,6,6,18,8,58,15
c276,94,94,110,43,154,53
c277,26,26,36,29,60,10
c278,23,23,64,16,50,17
c279,32,32,50,74,82,45
c280,51,51,87,38,122,45
c281,52,52,40,18,92,14
c282,19,19,33,38,39,15
c283,24,24,15,11,82,30
c284,27,27,65,25,46,26
c285,129,129,120,40,242,46
c286,24,24,69,30,37,16
c287,29,29,18,2,57,46
c288,41,41,35,12,79,27
c289,24,24,63,52,52,14
c290,16,16,0,13,39,10
c291,27,27,33,88,62,22
c292,8,8,45,4,86,18
c293,20,20,50,27,76,21
c294,15,15,60,19,134,27
c295,16,16,18,10,112,22
c296,10,10,21,74,36,19
c297,48,48,69,43,156,28
c298,31,31,50,27,58,12
c299,56,56,66,110,96,64
c300,25,25,46,18,90,25
c301,24,24,36,29,86,44
c302,24,24,34,29,53,10
c303,17,17,33,17,52,10
c304,18,18,19,11,84,25
c305,33,33,28,14,43,8
c306,10,10,7,3,74,14
c307,16,16,19,50,51,9
c308,13,13,10,5,57,5
c309,18,18,34,55,68,37
c310,12,12,24,8,63,14
c311,19,19,48,3,77,60
c312,23,23,74,94,60,68
c313,29,29,13,4,84,16
c314,14,14,39,13,97,18
c315,30,30,75,38,130,37
c316,28,28,93,90,137,25
c317,23,23,32,15,112,28
c318,46,46,54,124,64,22
c319,5,5,57,15,114,23
c320,7,7,96,61,135,31
c321,37,37,62,13,114,30
c322,13,13,54,59,76,11
c323,29,29,12,21,57,16
c324,18,18,38,99,63,17
c325,32,32,41,32,102,26
c326,2,2,16,2,51,13
c327,26,26,56,31,72,26
c328,29,29,69,26,112,20
c329,37,37,79,75,54,23
c330,14,14,51,33,81,45
c331,21,21,30,17,85,25
c332,36,36,15,27,78,13
c333,38,38,57,18,48,11
c334,6,6,36,2,49,9
c335,28,28,70,6,58,15
c336,23,23,44,8,134,167
c337,31,31,48,53,40,13
c338,12,12,14,1,69,20
c339,13,13,30,11,36,9
c340,29,29,36,36,73,16
c341,9,9,22,6,12,4
c342,51,51,49,39,62,31
c343,37,37,48,35,39,21
c344,72,72,107,68,93,36
c345,16,16,18,11,46,17
c346,36,36,34,25,109,21
c347,8,8,41,19,111,21
c348,26,26,65,106,73,21
c349,58,58,29,25,94,25
c350,25,25,32,33,61,5
c351,11,11,4,8,76,12
c352,28,28,22,44,92,13
c353,36,36,100,71,156,61
c354,64,64,89,85,247,67
c355,7,7,14,2,114,19
c356,24,24,37,65,54,13
c357,20,20,37,27,70,19
c358,27,27,23,16,125,66
c359,63,63,85,154,105,33
c360,13,13,25,32,73,35
c361,5,5,4,1,87,7
c362,29,29,43,30,80,26
c363,13,13,48,13,118,29
c364,5,5,40,2,147,26
c365,15,15,51,14,10,9
c366,16,16,72,91,97,32
c367,20,20,60,78,92,19
c368,29,29,16,25,59,13
c369,20,20,32,19,61,22
c370,23,23,42,41,110,42
c371,25,25,38,31,70,45
c372,36,36,13,9,26,8
c373,1,1,34,4,92,63
c374,37,37,67,54,157,21
c375,22,22,51,16,165,21
c376,42,42,75,80,96,45
c377,37,37,40,26,83,33
c378,42,42,95,153,143,35
c379,25,25,42,46,80,29
c380,35,35,28,44,89,10
c381,13,13,23,43,44,9
c382,50,50,37,50,150,9
c383,41,41,65,43,125,50
c384,29,29,20,48,100,29
c385,23,23,40,9,112,54
c386,9,9,24,2,34,23
c387,11,11,9,10,78,10
c388,22,22,39,4,148,68
c389,5,5,43,0,134,14
c390,23,23,45,27,78,15
c391,14,14,16,4,59,35
c392,9,9,51,31,64,6
c393,27,27,31,31,38,7
c394,27,27,26,26,60,5
c395,33,33,29,19,63,10
c396,8,8,30,9,51,11
c397,8,8,105,18,165,19
c398,23,23,36,27,65,31
c399,14,14,55,3,92,23
c400,51,51,54,19,120,39
c401,26,26,16,165,72,21
c402,41,41,30,26,35,7
c403,16,16,11,15,126,63
c404,17,17,18,3,43,7
c405,8,8,13,16,101,28
c406,19,19,45,38,38,17
c407,34,34,31,24,68,10
c408,21,21,45,1,67,26
c409,119,119,121,100,259,73
c410,13,13,44,63,69,23
c411,15,15,29,8,71,12
c412,12,12,38,16,82,6
c413,25,25,46,17,68,13
c414,17,17,0,8,26,4
c415,7,7,10,4,76,13
c416,24,24,37,22,236,24
c417,5,5,13,10,94,73
c418,21,21,19,24,34,5
c419,34,34,11,7,55,10
c420,29,29,19,10,78,11
c421,23,23,3,16,54,5
