cell_id,NRAS.1.115258747.C,NPM1.5.170837543.C,WT1.11.32417907.G
c1,16,36,29
c2,17,28,13
c3,7,44,46
c4,14,6,94
c5,1,6,20
c6,11,21,46
c7,12,32,41
c8,21,0,21
c9,17,9,35
c10,20,35,34
c11,10,20,56
c12,4,0,47
c13,5,0,98
c14,16,22,66
c15,25,29,72
c16,52,64,46
c17,16,2,26
c18,12,0,48
c19,13,0,41
c20,13,52,24
c21,3,4,76
c22,17,54,27
c23,22,67,32
c24,5,10,75
c25,16,0,45
c26,8,2,31
c27,11,37,42
c28,21,37,72
c29,9,7,25
c30,8,26,16
c31,16,21,56
c32,6,10,44
c33,14,2,50
c34,6,20,14
c35,6,30,50
c36,22,27,56
c37,5,2,113
c38,27,32,97
c39,4,20,18
c40,23,42,37
c41,26,43,102
c42,4,2,58
c43,26,3,23
c44,37,39,39
c45,10,34,52
c46,21,31,69
c47,6,41,79
c48,10,20,73
c49,9,27,47
c50,23,44,32
c51,8,27,80
c52,4,7,41
c53,29,54,61
c54,29,69,27
c55,17,5,76
c56,17,4,46
c57,10,45,16
c58,19,11,45
c59,12,26,86
c60,13,3,60
c61,9,8,43
c62,11,0,57
c63,21,10,59
c64,19,0,42
c65,14,10,52
c66,21,5,44
c67,11,11,45
c68,3,2,36
c69,20,0,25
c70,4,0,38
c71,9,0,62
c72,20,10,28
c73,6,21,23
c74,7,6,63
c75,17,21,76
c76,11,9,44
c77,24,12,41
c78,3,47,43
c79,43,106,94
c80,9,23,23
c81,11,33,23
c82,26,48,32
c83,42,40,141
c84,37,92,54
c85,8,2,16
c86,11,59,73
c87,11,5,26
c88,10,7,32
c89,35,54,32
c90,21,29,19
c91,24,66,64
c92,11,3,36
c93,1,13,18
c94,3,3,25
c95,24,18,61
c96,15,28,23
c97,7,10,49
c98,14,48,35
c99,15,24,55
c100,3,6,48
c101,10,16,15
c102,8,11,37
c103,18,33,43
c104,14,20,44
c105,9,2,7
c106,14,33,40
c107,7,5,48
c108,41,42,75
c109,27,6,48
c110,10,3,20
c111,19,20,55
c112,10,4,16
c113,22,19,38
c114,25,16,50
c115,5,3,70
c116,20,26,69
c117,11,17,30
c118,14,5,26
c119,3,4,27
c120,11,7,58
c121,7,8,34
c122,5,78,34
c123,23,39,67
c124,14,12,24
c125,11,12,46
c126,21,99,30
c127,8,10,45
c128,3,0,34
c129,15,92,84
c130,25,15,121
c131,13,18,92
c132,3,8,40
c133,20,67,44
c134,5,11,35
c135,18,10,58
c136,22,3,60
c137,34,17,74
c138,10,14,32
c139,2,2,38
c140,37,12,74
c141,11,37,20
c142,18,50,30
c143,4,34,40
c144,21,22,65
c145,28,31,54
c146,9,29,38
c147,8,22,16
c148,10,48,38
c149,17,15,31
c150,40,24,83
c151,16,33,24
c152,14,42,28
c153,16,20,38
c154,13,20,59
c155,14,32,32
c156,5,67,34
c157,21,32,28
c158,10,0,23
c159,5,9,52
c160,12,40,74
c161,16,23,52
c162,11,11,21
c163,29,39,55
c164,11,4,28
c165,14,4,42
c166,20,32,16
c167,15,52,19
c168,14,12,44
c169,11,8,53
c170,53,70,136
c171,18,22,33
c172,27,27,9
c173,58,33,56
c174,15,40,37
c175,21,16,86
c176,13,5,41
c177,12,14,33
c178,5,2,91
c179,11,25,36
c180,14,38,52
c181,24,37,55
c182,33,23,51
c183,18,3,20
c184,7,48,74
c185,27,43,93
c186,2,8,48
c187,11,18,43
c188,5,2,76
c189,3,3,30
c190,10,5,29
c191,22,44,44
c192,15,17,77
c193,24,40,55
c194,47,99,42
c195,14,70,34
c196,20,11,160
c197,14,25,32
c198,20,32,70
c199,33,20,66
c200,14,46,39
c201,11,18,59
c202,20,29,32
c203,19,38,34
c204,3,7,19
c205,13,25,43
c206,36,59,123
c207,6,37,42
c208,32,3,47
c209,16,0,43
c210,9,6,40
c211,12,6,27
c212,22,20,57
c213,22,12,37
c214,14,22,41
c215,44,19,50
c216,17,13,10
c217,0,20,56
c218,16,24,30
c219,19,20,61
c220,15,0,89
c221,7,15,69
c222,26,0,29
c223,25,34,65
c224,15,10,23
c225,24,8,31
c226,16,20,125
c227,23,32,56
c228,2,7,29
c229,38,19,72
c230,10,8,47
c231,20,26,37
c232,11,16,52
c233,7,23,39
c234,11,0,43
