cell_id,DNMT3A.2.25457243.G,NPM1.5.170837543.C,FLT3.13.28608273.X,TP53.17.7578275.G
c1,86,49,153,62
c2,77,11,141,108
c3,47,14,36,31
c4,22,3,110,139
c5,17,7,52,68
c6,38,5,48,112
c7,40,6,111,101
c8,75,36,290,190
c9,26,1,65,98
c10,8,2,15,22
c11,114,129,156,130
c12,9,5,57,56
c13,49,24,165,211
c14,9,4,57,61
c15,95,9,201,113
c16,49,10,84,36
c17,85,30,78,170
c18,34,8,63,107
c19,24,4,44,57
c20,35,4,43,33
c21,73,64,69,53
c22,59,7,103,101
c23,68,10,130,112
c24,20,7,65,86
c25,26,2,33,43
c26,43,21,54,0
c27,12,78,156,126
c28,174,195,119,124
c29,129,39,121,90
c30,85,46,66,101
c31,358,260,273,330
c32,73,27,57,85
c33,49,218,75,85
c34,95,75,111,95
c35,50,32,86,83
c36,82,24,97,37
c37,11,1,177,101
c38,17,3,26,64
c39,93,84,61,136
c40,82,50,155,54
c41,51,9,115,113
c42,227,232,237,136
c43,42,22,92,74
c44,29,2,60,212
c45,49,54,82,58
c46,34,19,104,76
c47,51,86,34,48
c48,39,7,107,11
c49,30,34,47,30
c50,6,0,93,142
c51,64,52,126,73
c52,65,30,87,73
c53,26,50,78,90
c54,69,24,134,70
c55,78,58,114,83
c56,48,57,56,68
c57,56,33,48,32
c58,94,39,85,87
c59,67,10,66,94
c60,17,1,38,31
c61,61,11,139,120
c62,12,1,78,32
c63,45,50,84,58
c64,3,2,10,77
c65,5,1,20,95
c66,5,2,33,141
c67,30,7,129,95
c68,32,14,47,46
c69,74,80,103,65
c70,25,4,65,29
c71,9,5,110,185
c72,174,77,418,355
c73,90,35,15,129
c74,22,14,94,88
c75,26,5,156,155
c76,107,19,133,80
c77,3,0,73,37
c78,1,10,141,60
c79,18,5,44,42
c80,49,13,117,74
c81,74,103,108,93
c82,69,28,139,208
c83,100,2,189,112
c84,76,3,98,66
c85,180,127,270,159
c86,207,140,248,185
c87,48,24,174,165
c88,32,45,47,32
c89,98,101,127,96
c90,38,42,185,71
c91,6,0,48,28
c92,58,63,83,46
c93,27,50,27,39
c94,28,21,55,92
c95,247,70,254,265
c96,69,8,74,107
c97,10,2,72,60
c98,11,16,17,92
c99,149,144,202,147
c100,42,0,66,40
c101,53,30,65,69
c102,59,15,123,168
c103,112,93,113,152
c104,61,52,129,55
c105,88,15,106,117
c106,7,6,22,9
c107,164,148,375,330
c108,59,14,93,89
c109,18,3,54,68
c110,68,24,138,93
c111,37,16,345,235
c112,10,0,71,32
c113,8,1,72,22
c114,264,68,142,217
c115,66,18,118,73
c116,201,40,225,172
c117,139,5,252,226
c118,134,111,194,114
c119,176,21,351,319
c120,100,6,17,167
c121,64,41,124,69
c122,64,7,88,24
c123,145,186,310,223
c124,20,7,83,74
c125,130,95,155,78
c126,128,13,93,112
c127,37,5,96,54
c128,106,67,121,79
c129,59,19,118,69
c130,79,21,70,37
c131,38,8,175,93
c132,97,42,97,62
c133,54,44,223,211
c134,52,85,78,72
c135,65,9,64,65
c136,19,1,39,47
c137,13,2,55,40
c138,11,3,57,18
c139,156,135,139,134
c140,75,71,110,60
c141,50,15,136,29
c142,43,36,47,37
c143,47,82,225,205
c144,71,16,173,149
c145,80,26,165,137
c146,69,98,195,67
c147,30,52,66,41
c148,41,33,95,95
c149,9,12,119,103
c150,0,197,182,154
c151,105,37,101,114
c152,34,7,44,42
c153,90,3,105,87
c154,57,45,85,84
c155,41,19,97,85
c156,45,15,53,60
c157,10,4,52,42
c158,38,16,157,135
c159,45,13,103,144
c160,461,119,592,601
