cell_id,NPM1.5.170837545.C,PTPN11.12.112888211.A,FLT3.13.28592634.CATG
c1,26,42,42
c2,58,37,56
c3,35,57,62
c4,31,55,50
c5,17,17,18
c6,36,57,49
c7,15,47,23
c8,30,16,25
c9,25,28,30
c10,29,18,27
c11,1,21,33
c12,11,13,15
c13,0,55,59
c14,3,36,40
c15,13,35,52
c16,32,28,48
c17,39,61,55
c18,13,36,38
c19,6,17,20
c20,28,30,23
c21,22,30,53
c22,8,38,37
c23,34,31,29
c24,22,45,65
c25,26,46,47
c26,56,30,22
c27,5,59,62
c28,28,64,55
c29,23,11,13
c30,38,55,55
c31,35,31,40
c32,20,50,22
c33,8,12,62
c34,17,20,12
c35,14,24,21
c36,3,28,31
c37,29,14,16
c38,26,19,21
c39,14,45,55
c40,20,41,51
c41,6,36,38
c42,5,31,27
c43,11,34,42
c44,43,53,36
c45,16,49,52
c46,13,52,80
c47,16,22,27
c48,25,43,42
c49,5,32,57
c50,7,36,41
c51,57,70,84
c52,25,29,35
c53,32,31,35
c54,32,28,36
c55,1,14,48
c56,13,16,12
c57,19,30,81
c58,32,22,27
c59,6,36,38
c60,14,26,48
c61,10,30,32
c62,8,52,63
c63,12,47,46
c64,7,28,34
c65,30,25,40
c66,22,18,27
c67,2,40,21
c68,13,20,41
c69,37,36,28
c70,17,23,31
c71,26,36,54
c72,39,30,35
c73,16,29,55
c74,18,40,63
c75,11,26,23
c76,7,50,120
c77,12,20,10
c78,19,37,50
c79,7,45,45
c80,22,57,67
c81,19,40,37
c82,7,41,31
c83,7,27,59
c84,2,34,25
c85,6,12,85
c86,25,15,22
c87,5,31,46
c88,14,18,27
c89,31,49,39
c90,2,46,42
c91,13,30,47
c92,52,36,45
c93,0,23,30
c94,24,45,54
c95,13,29,36
c96,31,32,34
c97,2,36,53
c98,0,23,57
c99,11,27,38
c100,9,28,34
c101,8,27,39
c102,11,21,37
c103,11,40,86
c104,4,19,55
c105,6,36,46
c106,22,27,38
c107,27,23,31
c108,8,6,34
c109,4,26,51
c110,9,49,60
c111,42,37,46
c112,4,31,33
c113,0,38,22
c114,33,7,24
c115,20,39,29
c116,51,35,25
c117,4,44,50
c118,7,39,38
c119,23,18,17
c120,20,35,46
c121,20,33,28
c122,14,30,45
c123,4,3,57
c124,7,26,51
c125,40,32,48
c126,6,21,23
c127,16,50,65
c128,7,58,94
c129,15,56,83
c130,2,23,42
c131,34,21,21
c132,9,36,56
c133,27,33,36
c134,34,32,33
c135,2,42,26
c136,15,33,73
c137,31,95,103
c138,30,42,54
c139,28,44,74
c140,23,24,34
c141,14,72,51
c142,33,43,30
c143,9,27,47
c144,5,31,19
c145,52,36,52
c146,36,39,41
c147,13,32,38
c148,14,48,72
c149,41,50,53
c150,37,29,33
c151,37,30,24
c152,8,19,36
c153,55,32,36
c154,31,28,38
c155,17,48,45
c156,16,74,80
c157,31,30,23
c158,18,44,76
c159,21,73,88
c160,26,33,24
c161,4,16,22
c162,45,50,35
c163,6,19,19
c164,27,23,25
c165,25,45,53
c166,29,37,65
c167,28,18,19
c168,18,26,49
c169,7,56,23
c170,4,35,44
c171,2,44,69
c172,37,21,22
c173,24,40,22
c174,7,33,50
c175,8,26,38
c176,29,23,16
c177,17,20,22
c178,20,37,40
c179,5,37,46
c180,66,51,73
c181,25,34,36
c182,10,16,67
c183,34,36,29
c184,3,32,68
c185,23,33,34
c186,58,36,65
c187,4,32,40
c188,4,45,65
c189,24,31,40
c190,0,18,40
c191,9,100,168
c192,15,29,40
c193,25,37,51
c194,6,18,34
c195,3,23,42
c196,6,36,40
c197,13,127,173
c198,19,35,41
c199,32,69,107
c200,9,25,50
c201,3,27,61
c202,16,48,52
c203,20,41,43
c204,18,27,45
c205,16,33,25
c206,18,62,64
c207,2,45,60
c208,47,49,65
c209,17,32,46
c210,19,21,25
c211,1,19,37
c212,0,72,88
c213,21,19,13
c214,0,18,16
c215,19,60,82
c216,46,32,41
c217,37,33,28
c218,14,31,40
c219,23,62,41
c220,2,34,67
c221,74,30,45
c222,9,65,50
c223,13,48,44
c224,33,44,44
c225,66,56,61
c226,8,27,59
c227,6,47,27
c228,50,32,60
c229,4,20,44
c230,30,14,15
c231,3,25,41
c232,58,54,77
c233,23,10,23
c234,54,55,57
c235,42,36,27
c236,7,21,33
c237,37,20,26
c238,20,30,40
c239,19,19,25
c240,19,32,37
c241,11,55,60
c242,33,35,18
c243,8,21,26
c244,29,41,54
c245,35,28,28
c246,8,22,20
c247,17,41,54
c248,10,18,15
c249,4,35,54
c250,40,37,40
c251,0,36,38
c252,31,23,26
c253,12,20,34
c254,20,32,57
c255,41,63,56
c256,8,42,55
c257,4,20,28
c258,16,32,50
c259,24,35,37
c260,10,62,78
c261,22,50,36
c262,14,17,43
c263,36,28,38
c264,26,55,54
c265,10,27,42
c266,4,13,13
c267,37,21,32
c268,22,66,91
c269,11,38,48
c270,4,17,51
c271,13,12,15
c272,35,43,37
c273,11,67,94
c274,38,42,46
c275,17,15,26
c276,26,23,22
c277,21,48,47
c278,27,38,42
c279,58,29,43
c280,47,28,38
c281,15,52,45
c282,45,62,64
c283,8,22,18
c284,15,26,21
c285,30,21,45
c286,37,26,19
c287,36,19,28
c288,3,37,58
c289,56,49,35
c290,30,29,22
c291,27,27,41
c292,23,22,23
c293,67,73,84
c294,38,44,31
c295,20,37,25
c296,0,15,28
c297,26,30,49
c298,29,45,61
c299,45,30,40
c300,11,39,68
c301,10,27,40
c302,10,43,75
c303,16,19,24
c304,12,40,30
c305,20,31,38
c306,1,53,67
c307,17,20,20
c308,28,39,30
c309,7,72,74
c310,18,43,46
c311,3,51,60
c312,31,33,30
c313,6,28,79
c314,2,31,61
c315,27,76,70
c316,52,28,35
c317,30,38,27
c318,20,18,28
c319,32,29,41
c320,32,46,29
c321,36,24,41
c322,31,23,21
c323,20,53,47
c324,23,12,25
c325,40,29,53
c326,5,15,51
c327,44,37,29
c328,9,64,58
c329,33,53,60
c330,34,46,44
c331,5,19,42
c332,4,21,32
c333,3,38,33
c334,14,23,41
c335,4,31,48
c336,55,35,45
c337,10,26,38
c338,39,72,89
c339,8,39,38
c340,9,12,31
c341,51,43,45
c342,21,10,20
c343,37,15,43
c344,7,39,46
c345,16,19,35
c346,25,46,28
c347,5,31,30
c348,17,24,27
c349,9,16,45
c350,27,29,32
c351,13,58,64
c352,17,46,83
c353,7,23,32
c354,13,15,19
c355,25,35,30
c356,3,15,30
c357,2,39,55
c358,26,38,58
c359,26,21,30
c360,29,20,32
c361,5,37,37
c362,2,40,61
c363,3,39,30
c364,3,45,53
c365,25,16,44
c366,4,76,94
c367,30,22,22
c368,28,39,44
c369,22,8,10
c370,22,34,32
c371,15,21,18
c372,30,54,18
c373,3,19,35
c374,27,40,35
c375,11,32,57
c376,3,22,23
c377,13,45,50
c378,30,11,37
c379,20,22,15
c380,15,54,51
c381,0,21,60
c382,6,32,55
c383,8,19,35
c384,14,14,18
c385,15,44,53
c386,6,25,66
c387,24,19,36
c388,19,42,48
c389,15,26,46
c390,26,30,8
c391,42,62,38
c392,5,14,34
c393,38,30,34
c394,14,94,88
c395,24,44,47
c396,19,47,77
c397,30,56,66
c398,3,19,24
c399,39,15,43
c400,36,60,67
c401,47,43,51
c402,4,37,30
c403,31,32,76
c404,24,44,33
c405,7,20,41
c406,36,20,25
c407,6,37,53
c408,50,63,91
c409,15,48,57
c410,5,58,84
c411,1,15,45
c412,22,32,52
c413,2,5,57
c414,10,64,65
c415,29,19,27
c416,7,16,42
c417,8,23,47
c418,0,20,34
c419,13,41,33
c420,28,82,90
c421,2,15,28
c422,9,17,15
c423,5,32,103
c424,5,8,38
c425,17,19,25
c426,0,30,53
c427,3,43,63
c428,20,13,18
c429,15,27,40
c430,31,58,61
c431,13,20,20
c432,26,37,49
c433,19,18,38
c434,31,16,22
c435,15,31,41
c436,29,24,37
c437,25,35,53
c438,23,24,30
c439,26,14,27
c440,10,12,14
c441,6,33,44
c442,24,41,52
c443,40,46,78
c444,33,48,55
c445,25,39,15
c446,23,19,27
c447,8,28,23
c448,19,64,114
c449,2,31,19
c450,15,43,17
c451,43,29,30
c452,15,17,45
c453,20,26,24
c454,9,38,66
c455,16,8,17
c456,10,32,33
c457,30,44,47
c458,4,34,39
c459,52,53,66
c460,45,32,37
c461,43,66,34
c462,20,15,19
c463,41,43,37
c464,11,29,32
c465,40,42,38
c466,8,21,30
c467,0,39,57
c468,31,36,32
c469,14,24,40
c470,13,42,54
c471,16,40,63
c472,27,34,31
c473,6,31,52
c474,23,25,29
c475,28,30,22
c476,18,13,23
c477,10,14,29
c478,18,27,32
c479,32,38,50
c480,7,41,57
c481,11,25,28
c482,13,33,49
c483,16,36,55
c484,16,14,21
c485,4,51,91
c486,18,25,29
c487,15,21,44
c488,3,38,37
c489,8,28,24
c490,20,11,23
c491,6,59,63
c492,12,31,23
c493,6,51,26
c494,9,13,8
c495,24,33,43
c496,27,39,32
c497,37,36,69
c498,28,21,42
c499,38,37,61
c500,16,23,27
c501,7,45,59
c502,36,19,32
c503,19,34,46
c504,19,27,24
c505,21,38,30
c506,1,29,40
c507,18,20,26
c508,8,71,64
c509,6,19,39
c510,15,65,68
c511,4,25,45
c512,25,33,44
c513,33,49,52
c514,11,34,45
c515,2,25,34
c516,26,38,43
c517,9,21,44
c518,22,58,98
c519,5,38,53
c520,10,37,33
c521,22,56,64
c522,30,70,97
c523,64,79,56
c524,3,37,34
c525,9,33,58
c526,4,29,59
c527,20,40,26
c528,9,19,25
c529,32,36,32
c530,10,37,50
c531,24,8,30
c532,15,58,72
c533,15,27,15
c534,3,36,30
c535,7,37,48
c536,28,38,50
c537,33,37,23
c538,63,31,80
c539,9,16,23
c540,21,41,36
c541,11,39,80
c542,41,41,62
c543,5,13,6
c544,17,23,23
c545,18,41,54
c546,36,38,40
c547,0,9,69
c548,8,38,57
c549,31,59,59
c550,23,40,32
c551,12,36,92
c552,31,61,69
c553,22,57,74
c554,7,14,19
c555,15,31,40
c556,8,36,40
c557,60,60,69
c558,22,60,58
c559,24,11,6
c560,50,26,41
c561,8,51,53
c562,25,33,58
c563,17,68,83
c564,34,30,53
c565,9,32,50
c566,34,38,35
c567,10,54,55
c568,32,44,34
c569,27,45,60
c570,15,9,25
c571,17,27,31
c572,23,20,18
c573,13,28,6
c574,8,46,51
c575,9,29,55
c576,11,46,51
c577,1,37,43
c578,3,24,39
c579,0,57,94
c580,4,31,44
c581,17,53,100
c582,53,34,43
c583,25,43,63
c584,27,6,14
c585,23,23,27
c586,3,14,30
c587,25,74,93
c588,27,24,39
c589,5,14,33
c590,35,72,81
c591,12,38,37
c592,31,55,74
c593,27,70,63
c594,28,28,52
c595,39,59,78
c596,34,10,28
c597,23,57,60
c598,36,32,53
c599,17,33,40
c600,28,11,20
c601,30,81,86
c602,62,46,50
c603,31,49,74
c604,19,20,11
c605,16,90,111
c606,28,32,52
c607,29,53,50
c608,0,18,46
c609,35,20,28
c610,52,47,48
c611,27,21,27
c612,9,51,50
c613,24,38,46
c614,23,16,36
c615,28,16,37
c616,9,41,55
c617,21,27,57
c618,20,36,37
c619,17,38,13
c620,3,37,42
c621,9,28,36
c622,22,44,44
c623,23,19,18
c624,15,27,40
c625,12,66,65
c626,50,41,46
c627,47,36,46
c628,36,41,57
c629,10,35,36
c630,25,36,42
c631,25,55,56
c632,23,27,57
c633,9,27,72
c634,5,43,74
c635,8,61,75
c636,4,30,46
c637,34,35,50
c638,0,23,72
c639,0,13,33
c640,1,32,66
c641,10,26,20
c642,32,43,45
c643,5,21,42
c644,25,15,35
c645,36,29,32
c646,51,52,42
c647,5,53,41
c648,30,31,41
c649,29,32,44
c650,16,26,48
c651,2,52,66
c652,30,45,56
c653,57,46,54
c654,19,29,31
c655,12,29,34
c656,23,50,43
c657,10,30,30
c658,50,37,100
c659,15,48,93
c660,56,100,80
c661,29,51,46
c662,44,45,71
c663,34,3,27
c664,35,25,27
c665,19,48,37
c666,2,37,35
c667,3,67,87
c668,4,55,54
c669,12,19,9
c670,3,29,24
c671,65,58,79
c672,9,15,10
c673,34,36,33
c674,22,16,24
c675,4,25,29
c676,8,24,24
c677,8,24,44
c678,7,29,53
c679,13,38,66
c680,11,32,84
c681,20,40,35
c682,17,21,25
c683,31,16,33
c684,14,19,27
c685,35,66,65
c686,4,81,91
c687,6,14,45
c688,46,46,56
c689,54,22,37
c690,35,37,26
c691,14,30,53
c692,27,30,46
c693,7,28,27
c694,1,37,31
c695,7,37,78
c696,13,25,20
c697,19,8,13
c698,8,71,64
c699,7,14,23
c700,40,57,76
c701,8,17,33
c702,16,37,35
c703,20,29,43
c704,3,23,38
c705,4,16,50
c706,11,39,55
c707,18,34,54
c708,7,65,102
c709,6,31,38
c710,28,72,106
c711,43,18,12
c712,21,34,60
c713,36,13,26
c714,18,39,41
c715,32,35,46
c716,51,42,46
c717,11,35,34
c718,19,19,39
c719,2,31,65
c720,57,64,73
c721,51,69,92
c722,7,35,43
c723,14,11,23
c724,19,46,51
c725,7,67,47
c726,31,35,39
c727,2,33,37
c728,61,29,83
c729,30,64,70
c730,21,62,54
c731,29,25,47
c732,9,66,79
c733,33,29,34
c734,34,32,42
c735,25,62,65
c736,38,26,56
c737,16,40,46
c738,20,34,40
c739,21,42,84
c740,10,34,49
c741,11,34,45
c742,16,30,34
c743,14,57,63
c744,27,23,39
c745,20,42,36
c746,15,50,44
c747,24,31,35
c748,79,73,53
c749,0,20,29
c750,52,41,53
c751,20,18,23
c752,21,31,28
c753,5,25,15
c754,37,51,48
c755,15,81,101
c756,16,42,59
c757,8,29,62
c758,3,24,58
c759,7,34,75
c760,29,20,33
c761,6,41,68
c762,11,61,73
c763,29,39,31
c764,16,67,69
c765,36,28,49
c766,2,23,34
c767,24,22,31
c768,54,25,50
c769,32,19,53
c770,3,27,54
c771,20,54,44
c772,18,39,36
c773,14,24,52
c774,55,33,36
c775,8,33,68
c776,30,43,63
c777,7,42,48
c778,18,32,35
c779,23,4,14
c780,30,45,65
c781,26,27,31
c782,34,84,111
c783,0,7,69
c784,43,49,60
c785,34,13,28
c786,21,43,49
c787,27,50,37
c788,17,42,56
c789,0,30,31
c790,15,20,34
c791,18,9,19
c792,10,38,34
c793,2,30,39
c794,21,69,70
c795,16,9,13
c796,7,58,98
c797,18,16,13
c798,2,22,35
c799,26,41,41
c800,23,31,43
c801,24,37,60
c802,21,14,21
c803,43,60,59
c804,17,27,44
c805,13,23,37
c806,41,47,65
c807,22,27,27
c808,29,32,31
