,mn,lossValue,Method,replicate,Time,Result
0,m25_n25,0.1,Dolphyin,s1,0.009,valid
1,m25_n25,0.2,Dolphyin,s1,0.009,valid
2,m25_n25,0.4,Dolphyin,s1,0.008,valid
3,m25_n25,0.1,Dolphyin,s2,0.008,valid
4,m25_n25,0.2,Dolphyin,s2,0.009,valid
5,m25_n25,0.4,Dolphyin,s2,0.009,valid
6,m25_n25,0.1,Dolphyin,s3,0.009,valid
7,m25_n25,0.2,Dolphyin,s3,0.009,valid
8,m25_n25,0.4,Dolphyin,s3,0.008,valid
9,m25_n25,0.1,Dolphyin,s4,0.009,valid
10,m25_n25,0.2,Dolphyin,s4,0.009,valid
11,m25_n25,0.4,Dolphyin,s4,0.009,valid
12,m25_n25,0.1,Dolphyin,s5,0.007,valid
13,m25_n25,0.2,Dolphyin,s5,0.008,valid
14,m25_n25,0.4,Dolphyin,s5,0.009,valid
15,m25_n25,0.1,Dolphyin,s6,0.008,valid
16,m25_n25,0.2,Dolphyin,s6,0.009,valid
17,m25_n25,0.4,Dolphyin,s6,0.008,valid
18,m25_n25,0.1,Dolphyin,s7,0.008,valid
19,m25_n25,0.2,Dolphyin,s7,0.008,valid
20,m25_n25,0.4,Dolphyin,s7,0.008,valid
21,m25_n25,0.1,Dolphyin,s8,0.008,valid
22,m25_n25,0.2,Dolphyin,s8,0.008,valid
23,m25_n25,0.4,Dolphyin,s8,0.008,valid
24,m25_n25,0.1,Dolphyin,s9,0.007,valid
25,m25_n25,0.2,Dolphyin,s9,0.007,valid
26,m25_n25,0.4,Dolphyin,s9,0.007,valid
27,m25_n25,0.1,Dolphyin,s10,0.007,valid
28,m25_n25,0.2,Dolphyin,s10,0.007,valid
29,m25_n25,0.4,Dolphyin,s10,0.008,valid
30,m25_n25,0.1,Dolphyin,s11,0.008,valid
31,m25_n25,0.2,Dolphyin,s11,0.008,valid
32,m25_n25,0.4,Dolphyin,s11,0.008,valid
33,m25_n25,0.1,Dolphyin,s12,0.008,valid
34,m25_n25,0.2,Dolphyin,s12,0.008,valid
35,m25_n25,0.4,Dolphyin,s12,0.008,valid
36,m25_n25,0.1,Dolphyin,s13,0.009,valid
37,m25_n25,0.2,Dolphyin,s13,0.008,valid
38,m25_n25,0.4,Dolphyin,s13,0.009,valid
39,m25_n25,0.1,Dolphyin,s14,0.008,valid
40,m25_n25,0.2,Dolphyin,s14,0.008,valid
41,m25_n25,0.4,Dolphyin,s14,0.008,valid
42,m25_n25,0.1,Dolphyin,s15,0.009,valid
43,m25_n25,0.2,Dolphyin,s15,0.008,valid
44,m25_n25,0.4,Dolphyin,s15,0.009,valid
45,m25_n25,0.1,Dolphyin,s16,0.007,valid
46,m25_n25,0.2,Dolphyin,s16,0.008,valid
47,m25_n25,0.4,Dolphyin,s16,0.007,valid
48,m25_n25,0.1,Dolphyin,s17,0.008,valid
49,m25_n25,0.2,Dolphyin,s17,0.008,valid
50,m25_n25,0.4,Dolphyin,s17,0.008,valid
51,m25_n25,0.1,Dolphyin,s18,0.008,valid
52,m25_n25,0.2,Dolphyin,s18,0.008,valid
53,m25_n25,0.4,Dolphyin,s18,0.009,valid
54,m25_n25,0.1,Dolphyin,s19,0.008,valid
55,m25_n25,0.2,Dolphyin,s19,0.008,valid
56,m25_n25,0.4,Dolphyin,s19,0.008,valid
57,m25_n25,0.1,Dolphyin,s20,0.008,valid
58,m25_n25,0.2,Dolphyin,s20,0.008,valid
59,m25_n25,0.4,Dolphyin,s20,0.009,valid
60,m25_n50,0.1,Dolphyin,s1,0.018,valid
61,m25_n50,0.2,Dolphyin,s1,0.016,valid
62,m25_n50,0.4,Dolphyin,s1,0.017,valid
63,m25_n50,0.1,Dolphyin,s2,0.009,valid
64,m25_n50,0.2,Dolphyin,s2,0.01,valid
65,m25_n50,0.4,Dolphyin,s2,0.009,valid
66,m25_n50,0.1,Dolphyin,s3,0.01,valid
67,m25_n50,0.2,Dolphyin,s3,0.01,valid
68,m25_n50,0.4,Dolphyin,s3,0.009,valid
69,m25_n50,0.1,Dolphyin,s4,0.022,valid
70,m25_n50,0.2,Dolphyin,s4,0.02,valid
71,m25_n50,0.4,Dolphyin,s4,0.011,valid
72,m25_n50,0.1,Dolphyin,s5,0.01,valid
73,m25_n50,0.2,Dolphyin,s5,0.01,valid
74,m25_n50,0.4,Dolphyin,s5,0.011,valid
75,m25_n50,0.1,Dolphyin,s6,0.01,valid
76,m25_n50,0.2,Dolphyin,s6,0.01,valid
77,m25_n50,0.4,Dolphyin,s6,0.009,valid
78,m25_n50,0.1,Dolphyin,s7,0.009,valid
79,m25_n50,0.2,Dolphyin,s7,0.014,valid
80,m25_n50,0.4,Dolphyin,s7,0.009,valid
81,m25_n50,0.1,Dolphyin,s8,0.01,valid
82,m25_n50,0.2,Dolphyin,s8,0.011,valid
83,m25_n50,0.4,Dolphyin,s8,0.01,valid
84,m25_n50,0.1,Dolphyin,s9,0.011,valid
85,m25_n50,0.2,Dolphyin,s9,0.008,valid
86,m25_n50,0.4,Dolphyin,s9,0.008,valid
87,m25_n50,0.1,Dolphyin,s10,0.008,valid
88,m25_n50,0.2,Dolphyin,s10,0.009,valid
89,m25_n50,0.4,Dolphyin,s10,0.009,valid
90,m25_n50,0.1,Dolphyin,s11,0.023,valid
